offer_number	tpnb	Item_description	offer_start_date	offer_end_date	store	format_name	meta_store_id	sg_cd	forecast	capacity
S5762962	120502848	SYOSS OLEO INT 3-10 TM HNEDY	24.8.21	20.9.21	1019	HM	101	C32BC	1.617293125	7
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1001	HM	1	C00AA	12.14968716	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	1046	HM	1	A11CA	1861.832798	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	4129	1K	2	A12AD	94.14287192	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4068	EX	2	A11CA	990.4486717	0
S5561019	115952297	DREVENE UHLIE 5 KG	25.8.21	7.9.21	1012	HM	1	L3CAA		0
S5762962	120502848	SYOSS OLEO INT 3-10 TM HNEDY	24.8.21	20.9.21	1023	HM	101	C32BC	1.364461806	7
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1053	HM	1	C39AA	0.891999108	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	1048	HM	1	A11CA	3498.868208	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	1039	HM	1	A12AD	223.7794079	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	4074	EX	2	A12AD	106.0359529	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	1016	HM	1	A12AD	488.9868231	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	1050	HM	1	A11CA	2130.505881	0
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1013	HM	1	C00AA	8.881307604	0
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1031	HM	1	C39AA	0.884999115	0
S5561019	115952297	DREVENE UHLIE 5 KG	25.8.21	7.9.21	1051	HM	1	L3CAA		0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4001	HM	2	A11CA	2297.238871	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	4028	1K	2	A12AD	173.4193927	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4070	EX	2	A11CA	551.4332304	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	1048	HM	1	A12AD	575.2202892	0
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1009	HM	1	C39AA	0.861999138	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	1052	HM	1	A11CA	1549.983233	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4072	EX	2	A11CA	984.1884394	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4141	1K	2	A11CA	2261.675423	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4074	EX	2	A11CA	1548.008938	0
S5561019	115952297	DREVENE UHLIE 5 KG	25.8.21	7.9.21	1122	HM	1	L3CAA		0
S5762962	120502848	SYOSS OLEO INT 3-10 TM HNEDY	24.8.21	20.9.21	1027	HM	101	C32BC	1.339888375	7
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	1121	HM	1	A11CA	2021.428455	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	1054	HM	1	A11CA	2068.450615	0
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1052	HM	1	C39AA	0.891999108	0
S5762962	120502848	SYOSS OLEO INT 3-10 TM HNEDY	24.8.21	20.9.21	1121	HM	101	C32BC	1.128979086	7
S5561019	115952297	DREVENE UHLIE 5 KG	25.8.21	7.9.21	1044	HM	1	L3CAA		0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	4005	1K	2	A12AD	78.47510018	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4145	1K	2	A11CA	2694.430632	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4143	1K	2	A11CA	1424.669042	0
S5699076	220312864	Misa protein jahoda 400 ml	25.8.21	30.8.21	1048	HM	1	A61CB	6.46695539	0
S5722437	220278296	REXONA DEO ULTIMATE FRES 150ml	25.8.21	7.9.21	1011	HM	1	C39AB	1.3604084	0
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1008	HM	1	C39AA	0.877999122	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	1025	HM	1	A12AD	278.8411648	0
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1025	HM	1	C00AA	11.69423284	0
S5561019	115952297	DREVENE UHLIE 5 KG	25.8.21	7.9.21	1005	HM	1	L3CAA		0
S5762962	120502848	SYOSS OLEO INT 3-10 TM HNEDY	24.8.21	20.9.21	1031	HM	101	C32BC	0.897554875	7
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4005	1K	2	A11CA	1607.947333	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4007	EX	2	A11CA	845.1313639	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	4115	1K	2	A12AD	55.47433042	0
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1054	HM	1	C00AA	5.794950174	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	1056	HM	1	A11CA	1619.030643	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	4037	1K	2	A12AD	108.6886549	0
S5722437	220278296	REXONA DEO ULTIMATE FRES 150ml	25.8.21	7.9.21	1002	HM	1	C39AB	2.543997976	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	1002	HM	1	A12AD	915.3513555	0
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1030	HM	1	C39AA	0.884999115	0
S5561019	115952297	DREVENE UHLIE 5 KG	25.8.21	7.9.21	1037	HM	1	L3CAA		0
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1051	HM	1	C39AA	0.884999115	0
S5699076	220312864	Misa protein jahoda 400 ml	25.8.21	30.8.21	1019	HM	1	A61CB	12.77687927	0
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1112	HM	1	C00AA	5.58520326	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4147	EX	2	A11CA	729.7832534	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	1112	HM	1	A12AD	274.2242814	0
S5762962	120502848	SYOSS OLEO INT 3-10 TM HNEDY	24.8.21	20.9.21	1035	HM	101	C32BC	0.91383351	7
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	2001	DS	1	C00AA	4.17592071	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	4014	1K	2	A12AD	153.9689159	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	1057	HM	1	A12AD	277.2608893	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4011	1K	2	A11CA	960.4794744	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4074	EX	2	C00AB	0.878997056	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	1034	HM	1	A12AD	446.7531852	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4069	EX	2	C00AB	0.998102136	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	1132	HM	101	C00AB	3.07899144	4
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1008	HM	1	C00AA	6.877057005	0
S5561019	115952297	DREVENE UHLIE 5 KG	25.8.21	7.9.21	1030	HM	1	L3CAA		0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4149	1K	2	A11CA	1704.781139	0
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1037	HM	1	C00AA	6.027315372	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	1131	HM	101	C00AB	4.81790016	4
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4070	EX	2	C00AB	1.11972948	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4151	1K	2	A11CA	2109.431901	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4072	EX	2	C00AB	1.010012232	0
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1029	HM	1	C39AA	0.884999115	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4013	1K	2	A11CA	760.5516293	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	4046	1K	2	A12AD	205.492243	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	1131	HM	1	A11CA	2011.814259	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4066	EX	2	C00AB	1.550536662	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4015	EX	2	A11CA	693.4206274	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4068	EX	2	C00AB	1.419439086	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4153	1K	2	A11CA	2411.920999	0
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1007	HM	1	C39AA	0.861999138	0
S5762962	120502848	SYOSS OLEO INT 3-10 TM HNEDY	24.8.21	20.9.21	1039	HM	101	C32BC	1.542411816	7
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4067	1K	2	C00AB	2.88870916	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	1011	HM	1	A12AD	428.7504386	0
S5561019	115952297	DREVENE UHLIE 5 KG	25.8.21	7.9.21	1101	HM	1	L3CAA		0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	1121	HM	1	A12AD	221.9512461	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	4101	1K	2	A12AD	119.7963437	0
S5561019	115952297	DREVENE UHLIE 5 KG	25.8.21	7.9.21	1023	HM	1	L3CAA		0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4065	EX	2	C00AB	1.243161384	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4017	1K	2	A11CA	1229.536268	0
S5699076	220312864	Misa protein jahoda 400 ml	25.8.21	30.8.21	1011	HM	1	A61CB	9.206155255	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4062	EX	2	C00AB	0.72339063	0
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1032	HM	1	C00AA	6.57024849	0
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1020	HM	1	C00AA	6.9255186	0
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1049	HM	1	C00AA	5.731091496	0
S5762962	120502848	SYOSS OLEO INT 3-10 TM HNEDY	24.8.21	20.9.21	1043	HM	101	C32BC	1.292122228	7
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1050	HM	1	C39AA	0.891999108	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4021	1K	2	A11CA	2993.856212	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4058	1K	2	C00AB	2.3009376	0
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1028	HM	1	C39AA	0.884999115	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4157	1K	2	A11CA	1504.586901	0
S5561019	115952297	DREVENE UHLIE 5 KG	25.8.21	7.9.21	1016	HM	1	L3CAA		0
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1006	HM	1	C39AA	0.877999122	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	1122	HM	101	C00AB	5.11804656	4
S5762962	120502848	SYOSS OLEO INT 3-10 TM HNEDY	24.8.21	20.9.21	1047	HM	101	C32BC	1.526797222	7
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1003	HM	1	C00AA	7.83751527	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	1043	HM	1	A12AD	627.8031825	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4155	1K	2	A11CA	2485.44543	0
S5762962	120502848	SYOSS OLEO INT 3-10 TM HNEDY	24.8.21	20.9.21	1051	HM	101	C32BC	1.91587725	7
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4057	EX	2	C00AB	2.681887014	0
S5762962	120502848	SYOSS OLEO INT 3-10 TM HNEDY	24.8.21	20.9.21	1002	HM	101	C32BC	2.040253046	7
S5561019	115952297	DREVENE UHLIE 5 KG	25.8.21	7.9.21	1009	HM	1	L3CAA		0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	1020	HM	1	A12AD	442.7250319	0
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1049	HM	1	C39AA	0.891999108	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	1001	HM	1	A11CA	6373.163269	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	4032	1K	2	A12AD	114.931721	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4161	1K	2	A11CA	832.7440957	0
S5722437	220278296	REXONA DEO ULTIMATE FRES 150ml	25.8.21	7.9.21	1007	HM	1	C39AB	1.520071488	0
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1027	HM	1	C39AA	0.884999115	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	1052	HM	1	A12AD	250.4891628	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	4142	1K	2	A12AD	217.657807	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4061	EX	2	C00AB	1.21537116	0
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1131	HM	1	C00AA	4.833022623	0
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1015	HM	1	C00AA	6.74962002	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	1121	HM	101	C00AB	5.78256588	4
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	2001	DS	1	A12AD	554.5837501	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	1029	HM	1	A12AD	419.7025866	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	1003	HM	1	A11CA	6003.453724	0
S5699076	220312864	Misa protein jahoda 400 ml	25.8.21	30.8.21	1007	HM	1	A61CB	6.328276539	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	4041	1K	2	A12AD	220.9596596	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4054	EX	2	C00AB	1.148656	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4056	EX	2	C00AB	1.381571136	0
S5561019	115952297	DREVENE UHLIE 5 KG	25.8.21	7.9.21	1048	HM	1	L3CAA		0
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1044	HM	1	C00AA	5.959040724	0
S5762962	120502848	SYOSS OLEO INT 3-10 TM HNEDY	24.8.21	20.9.21	1006	HM	101	C32BC	2.161096457	7
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1005	HM	1	C39AA	0.877999122	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4159	1K	2	A11CA	1124.843872	0
S5722437	220278296	REXONA DEO ULTIMATE FRES 150ml	25.8.21	7.9.21	1016	HM	1	C39AB	2.030258256	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	4160	1K	2	A12AD	137.1711412	0
S5561019	115952297	DREVENE UHLIE 5 KG	25.8.21	7.9.21	1002	HM	1	L3CAA		0
S5762962	120502848	SYOSS OLEO INT 3-10 TM HNEDY	24.8.21	20.9.21	1010	HM	101	C32BC	1.64698545	7
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1102	HM	1	C00AA	6.133684986	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	1006	HM	1	A12AD	1168.62924	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	1005	HM	1	A11CA	6143.995792	0
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1027	HM	1	C00AA	15.70206784	0
S5561019	115952297	DREVENE UHLIE 5 KG	25.8.21	7.9.21	1041	HM	1	L3CAA		0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4025	EX	2	A11CA	935.3053487	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4052	EX	2	C00AB	1.47613008	0
S5699076	220312864	Misa protein jahoda 400 ml	25.8.21	30.8.21	1003	HM	1	A61CB	10.73207936	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	1112	HM	101	C00AB	3.9594744	4
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	1038	HM	1	A12AD	268.6158526	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	1015	HM	1	A12AD	268.4299378	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	1009	HM	1	A11CA	2896.145507	0
S5762962	120502848	SYOSS OLEO INT 3-10 TM HNEDY	24.8.21	20.9.21	1014	HM	101	C32BC	1.843326625	7
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	1111	HM	101	C00AB	4.97213172	4
S5561019	115952297	DREVENE UHLIE 5 KG	25.8.21	7.9.21	1112	HM	1	L3CAA		0
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	1056	HM	1	C00AA	4.665991473	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4033	EX	2	A11CA	1022.815405	0
S5762962	120502848	SYOSS OLEO INT 3-10 TM HNEDY	24.8.21	20.9.21	1112	HM	101	C32BC	0.883495375	7
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4102	1K	2	A11CA	1883.264358	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4029	EX	2	A11CA	810.2338986	0
S5561019	115952297	DREVENE UHLIE 5 KG	25.8.21	7.9.21	1027	HM	1	L3CAA		0
S5762962	120502848	SYOSS OLEO INT 3-10 TM HNEDY	24.8.21	20.9.21	1018	HM	101	C32BC	1.443937224	7
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1004	HM	1	C39AA	0.862999137	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	1007	HM	1	A11CA	2626.948013	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	1047	HM	1	A12AD	424.2574984	0
S5617311	220003983	Surf Mount Fresh Prací prá ok 1,3 kg	25.8.21	7.9.21	4001	HM	2	C00AA	3.28749789	0
S5561019	115952297	DREVENE UHLIE 5 KG	25.8.21	7.9.21	1034	HM	1	L3CAA		0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4045	EX	2	C00AB	1.39312032	0
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1048	HM	1	C39AA	0.866999133	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	4104	1K	2	A11CA	1620.068208	0
S5722434	220293971	REX MEN SPRAY CL SC 100 ml	25.8.21	7.9.21	1026	HM	1	C39AA	0.882999117	0
S5762962	120502848	SYOSS OLEO INT 3-10 TM HNEDY	24.8.21	20.9.21	1022	HM	101	C32BC	1.88110239	7
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	1013	HM	1	A11CA	3894.798288	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4046	1K	2	C00AB	3.03970819	0
S5807017	207598328	KUKURICA LAHODKO VA KS	25.8.21	30.8.21	1011	HM	1	A11CA	2328.733127	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	4151	1K	2	A12AD	89.35839124	0
S5699076	220312864	Misa protein jahoda 400 ml	25.8.21	30.8.21	1053	HM	1	A61CB	6.690721269	0
S5617316	220199802	SURF COLOR GEL TROPICAL 60w	25.8.21	7.9.21	4040	1K	2	C00AB	2.10403044	0
S5807016	207049332	TS PARADAJKY CHERRY NA STONKE 500g	25.8.21	30.8.21	1102	HM	1	A12AD	375.2999431	0
